system,model,temperature_K
zro2_cubic,mace_mp0,600.0
zro2_cubic,mace_mp0,900.0
zro2_cubic,chgnet,100.0
zro2_cubic,chgnet,300.0
zro2_cubic,chgnet,600.0
zro2_cubic,chgnet,900.0
zro2_cubic,orb_v2,100.0
zro2_cubic,orb_v2,300.0
zro2_cubic,orb_v2,600.0
zro2_cubic,orb_v2,900.0
hfo2_cubic,mattersim,100.0
hfo2_cubic,mattersim,300.0
hfo2_cubic,mattersim,600.0
hfo2_cubic,mattersim,900.0
hfo2_cubic,sevennet0,100.0
hfo2_cubic,sevennet0,300.0
hfo2_cubic,sevennet0,600.0
hfo2_cubic,sevennet0,900.0
hfo2_cubic,mace_mp0,100.0
hfo2_cubic,mace_mp0,300.0
hfo2_cubic,mace_mp0,600.0
hfo2_cubic,mace_mp0,900.0
hfo2_cubic,chgnet,100.0
hfo2_cubic,chgnet,300.0
hfo2_cubic,chgnet,600.0
hfo2_cubic,chgnet,900.0
hfo2_cubic,orb_v2,100.0
hfo2_cubic,orb_v2,300.0
hfo2_cubic,orb_v2,600.0
hfo2_cubic,orb_v2,900.0
